from_city,to_city,distance_km
Abakaliki,Abeokuta,656
Abakaliki,Abuja,477
Abakaliki,Ado Ekiti,566
Abakaliki,Akure,506
Abakaliki,Asaba,193
Abakaliki,Awka,145
Abakaliki,Bauchi,824
Abakaliki,Benin City,332
Abakaliki,Birnin Kebbi,1204
Abakaliki,Calabar,350
Abakaliki,Damaturu,1183
Abakaliki,Dutse,994
Abakaliki,Enugu,84
Abakaliki,Gombe,974
Abakaliki,Gusau,1116
Abakaliki,Ibadan,642
Abakaliki,Lagos,660
Abakaliki,Ilorin,737
Abakaliki,Jalingo,626
Abakaliki,Jos,692
Abakaliki,Kaduna,856
Abakaliki,Kano,1167
Abakaliki,Katsina,1286
Abakaliki,Lafia,388
Abakaliki,Lokoja,476
Abakaliki,Maiduguri,1285
Abakaliki,Makurdi,258
Abakaliki,Minna,682
Abakaliki,Osogbo,546
Abakaliki,Owerri,230
Abakaliki,Port Harcourt,313
Abakaliki,Sokoto,1356
Abakaliki,Umuahia,202
Abakaliki,Uyo,273
Abakaliki,Yenagoa,345
Abakaliki,Yola,954
Abeokuta,Abuja,722
Abeokuta,Ado Ekiti,340
Abeokuta,Akure,280
Abeokuta,Asaba,458
Abeokuta,Awka,444
Abeokuta,Bauchi,1143
Abeokuta,Benin City,314
Abeokuta,Birnin Kebbi,756
Abeokuta,Calabar,764
Abeokuta,Damaturu,1384
Abeokuta,Dutse,1140
Abeokuta,Enugu,572
Abeokuta,Gombe,1304
Abeokuta,Gusau,1110
Abeokuta,Ibadan,75
Abeokuta,Lagos,82
Abeokuta,Ilorin,238
Abeokuta,Jalingo,1312
Abeokuta,Jos,1015
Abeokuta,Kaduna,835
Abeokuta,Kano,1088
Abeokuta,Katsina,1181
Abeokuta,Lafia,902
Abeokuta,Lokoja,520
Abeokuta,Maiduguri,1596
Abeokuta,Makurdi,991
Abeokuta,Minna,663
Abeokuta,Osogbo,157
Abeokuta,Owerri,559
Abeokuta,Port Harcourt,671
Abeokuta,Sokoto,970
Abeokuta,Umuahia,595
Abeokuta,Uyo,671
Abeokuta,Yenagoa,524
Abeokuta,Yola,1580
Abuja,Ado Ekiti,450
Abuja,Akure,420
Abuja,Asaba,404
Abuja,Awka,440
Abuja,Bauchi,419
Abuja,Benin City,493
Abuja,Birnin Kebbi,573
Abuja,Calabar,729
Abuja,Damaturu,957
Abuja,Dutse,512
Abuja,Enugu,393
Abuja,Gombe,506
Abuja,Gusau,490
Abuja,Ibadan,645
Abuja,Lagos,761
Abuja,Ilorin,482
Abuja,Jalingo,691
Abuja,Jos,297
Abuja,Kaduna,186
Abuja,Kano,396
Abuja,Katsina,570
Abuja,Lafia,180
Abuja,Lokoja,183
Abuja,Maiduguri,875
Abuja,Makurdi,280
Abuja,Minna,156
Abuja,Osogbo,428
Abuja,Owerri,533
Abuja,Port Harcourt,616
Abuja,Sokoto,748
Abuja,Umuahia,513
Abuja,Uyo,593
Abuja,Yenagoa,647
Abuja,Yola,704
Ado Ekiti,Akure,50
Ado Ekiti,Asaba,368
Ado Ekiti,Awka,412
Ado Ekiti,Bauchi,945
Ado Ekiti,Benin City,228
Ado Ekiti,Birnin Kebbi,634
Ado Ekiti,Calabar,579
Ado Ekiti,Damaturu,1207
Ado Ekiti,Dutse,1130
Ado Ekiti,Enugu,482
Ado Ekiti,Gombe,1124
Ado Ekiti,Gusau,1021
Ado Ekiti,Ibadan,254
Ado Ekiti,Lagos,401
Ado Ekiti,Ilorin,164
Ado Ekiti,Jalingo,940
Ado Ekiti,Jos,940
Ado Ekiti,Kaduna,761
Ado Ekiti,Kano,1010
Ado Ekiti,Katsina,1071
Ado Ekiti,Lafia,640
Ado Ekiti,Lokoja,296
Ado Ekiti,Maiduguri,536
Ado Ekiti,Makurdi,640
Ado Ekiti,Minna,596
Ado Ekiti,Osogbo,178
Ado Ekiti,Owerri,473
Ado Ekiti,Port Harcourt,584
Ado Ekiti,Sokoto,894
Ado Ekiti,Umuahia,510
Ado Ekiti,Uyo,605
Ado Ekiti,Yenagoa,438
Ado Ekiti,Yola,1236
Akure,Asaba,310
Akure,Awka,342
Akure,Bauchi,885
Akure,Benin City,165
Akure,Birnin Kebbi,711
Akure,Calabar,619
Akure,Damaturu,1147
Akure,Dutse,1070
Akure,Enugu,422
Akure,Gombe,1255
Akure,Gusau,1057
Akure,Ibadan,204
Akure,Lagos,341
Akure,Ilorin,199
Akure,Jalingo,880
Akure,Jos,682
